Date,Open,High,Low,Close,Adj Close,Volume
1972-06-01,0.000000,7.294257,7.254722,7.274490,1.159906,74617
1972-06-02,7.294257,7.393096,7.294257,7.353560,1.172513,227645
1972-06-05,7.353560,7.363444,7.333793,7.333793,1.169361,96117
1972-06-06,7.333793,7.343677,7.294257,7.314025,1.166209,77146
1972-06-07,7.284374,7.284374,7.185535,7.185535,1.145722,121411
1972-06-08,7.185535,7.225071,7.116349,7.116349,1.134690,328820
1972-06-09,7.116349,7.116349,7.066930,7.076813,1.128386,232704
1972-06-12,7.076813,7.136116,7.047162,7.116349,1.134690,182116
1972-06-13,7.136116,7.234955,7.136116,7.215187,1.150450,203616
1972-06-14,7.234955,7.314025,7.234955,7.314025,1.166209,168204
1972-06-15,7.314025,7.442515,7.314025,7.333793,1.169361,699376
1972-06-16,7.333793,7.343677,7.304141,7.323909,1.167786,54382
1972-06-19,7.323909,7.343677,7.284374,7.284374,1.161481,159351
1972-06-20,7.294257,7.333793,7.294257,7.323909,1.167786,56911
1972-06-21,7.323909,7.393096,7.323909,7.393096,1.178817,112558
1972-06-22,7.393096,7.402979,7.323909,7.323909,1.167786,73352
1972-06-23,7.323909,7.333793,7.254722,7.304141,1.164633,106234
1972-06-26,7.284374,7.284374,7.195419,7.195419,1.152914,74617
1972-06-27,7.195419,7.215187,7.195419,7.215187,1.156081,118881
1972-06-28,7.205303,7.205303,7.136116,7.155884,1.146580,241556
1972-06-29,7.136116,7.136116,7.106465,7.106465,1.138662,51852
1972-06-30,7.106465,7.155884,7.096581,7.136116,1.143413,322497
1972-07-03,7.136116,7.165768,7.116349,7.146000,1.144996,27823
1972-07-05,7.146000,7.205303,7.126233,7.195419,1.152914,58176
1972-07-06,7.244838,7.323909,7.244838,7.274490,1.165583,189704
1972-07-07,7.274490,7.294257,7.264606,7.264606,1.164000,190969
1972-07-10,7.264606,7.274490,7.234955,7.274490,1.165583,69558
1972-07-11,7.274490,7.274490,7.205303,7.205303,1.154498,69558
1972-07-12,7.195419,7.195419,7.106465,7.116349,1.140245,400908
1972-07-13,7.106465,7.106465,7.017511,7.037278,1.127576,93587
1972-07-14,7.027394,7.027394,6.987859,6.997743,1.121241,75882
1972-07-17,6.997743,7.007627,6.908789,6.908789,1.106989,145440
1972-07-18,6.908789,6.977975,6.908789,6.977975,1.118073,108764
1972-07-19,6.997743,7.076813,6.997743,7.057046,1.130743,87264
1972-07-20,7.057046,7.076813,6.997743,6.997743,1.121241,598200
1972-07-21,6.997743,6.997743,6.968091,6.977975,1.118073,78411
