Date,Open,High,Low,Close,Volume
1981-04-10,998.83,1009.01,990.63,1000.27,5825796
1981-04-13,1000.27,1003.51,987.66,993.16,4996976
1981-04-14,993.16,998.56,981.81,989.1,4845644
1981-04-15,989.1,1004.41,987.03,1001.71,5616336
1981-04-16,1001.71,1012.79,995.23,1005.58,5306656
1981-04-20,1005.58,1020.71,995.14,1015.94,5113231
1981-04-21,1015.94,1020.98,1001.44,1005.94,6041270
1981-04-22,1005.94,1013.96,996.13,1007.02,6079353
1981-04-23,1007.02,1022.33,1001.89,1010.27,6434133
1981-04-24,1010.27,1024.68,1004.32,1020.35,6013208
1981-04-27,1020.35,1030.98,1013.87,1024.05,5119245
1981-04-28,1024.05,1029.63,1009.37,1016.93,5833814
1981-04-29,1016.93,1018.37,996.58,1004.32,5345742
1981-04-30,1004.32,1010.9,991.89,997.75,4807560
1981-05-01,997.75,1005.22,987.12,995.59,4846646
1981-05-04,985.41,985.41,971.9,979.11,4051900
1981-05-05,979.11,979.38,964.52,972.44,4910787
1981-05-06,972.44,983.16,969.47,973.34,4720368
1981-05-07,973.34,981.99,969.29,978.39,4268376
1981-05-08,978.39,983.88,972.71,976.4,4195215
1981-05-11,976.4,979.47,959.83,963.44,3772286
1981-05-12,963.44,973.7,956.68,970.82,4052902
1981-05-13,970.82,978.12,961.82,967.76,4269378
1981-05-14,967.76,979.02,963.08,973.07,4284411
1981-05-15,973.07,990.09,971.72,985.95,4556007
1981-05-18,985.95,994.42,978.84,985.77,4260358
1981-05-19,985.77,988.29,972.26,980.01,4231294
1981-05-20,980.01,984.87,971.36,976.86,4246327
1981-05-21,976.86,984.06,969.11,976.59,4692307
1981-05-22,976.59,982.62,966.59,971.72,4079962
1981-05-26,971.72,987.2,965.69,983.96,4285413
1981-05-27,983.96,998.7,978.76,993.14,5885929
1981-05-28,993.14,1002.97,982.66,994.25,5963098
1981-05-29,994.25,1003.15,985.44,991.75,5169355
1981-06-01,991.75,1010.48,988.97,997.96,6230686
1981-06-02,997.96,1003.15,984.7,987.48,5404872
1981-06-03,987.48,993.14,976.82,989.71,5482041
1981-06-04,989.71,996.66,980.25,986.74,4904773
1981-06-05,986.74,999.44,981.18,993.79,4728386
1981-06-08,993.79,1003.52,990.54,995.64,4167153
1981-06-09,995.64,1004.45,987.76,994.44,4469818
1981-06-10,994.44,1003.71,985.91,993.88,5331711
1981-06-11,993.88,1010.57,989.89,1007.42,5966105
1981-06-12,1007.42,1017.22,996.77,1006.28,6092382
1981-06-15,1006.85,1023.02,1006.85,1011.99,6348946
1981-06-16,1011.99,1017.5,997.9,1003.33,5790719
1981-06-17,1003.33,1010.84,992.01,1006.56,5559211
1981-06-18,1006.56,1011.8,990.96,995.15,4850655
1981-06-19,995.15,1002.85,988.77,996.19,4653221
1981-06-22,996.19,1004.19,988.96,994.2,4188199
1981-06-23,994.2,1008.94,990.01,1006.66,5195412
1981-06-24,1006.66,1008.09,993.15,999.33,4675269
1981-06-25,999.33,1007.99,992.58,996.77,4401668
1981-06-26,996.77,1001.81,988.49,992.87,3932638
1981-06-29,992.87,996.39,981.16,984.59,3801350
1981-06-30,984.59,988.01,972.69,976.88,4164146
1981-07-01,976.88,978.98,963.28,967.66,4918804
1981-07-02,967.66,972.7,954.72,959.19,4519928
1981-07-06,957.95,957.95,941.97,949.3,4468816
1981-07-07,949.3,962.9,943.49,954.15,5367790
1981-07-08,954.15,961.28,944.06,953.48,4610126
1981-07-09,953.48,963.18,950.06,959,4561018
1981-07-10,959,963.38,950.15,955.67,4003794
1981-07-13,955.67,962.42,949.87,954.34,3818387
1981-07-14,954.34,956.53,941.5,948.25,4532957
1981-07-15,948.25,960.33,945.49,954.15,4905776
1981-07-16,954.15,960.52,947.11,955.48,3909587
1981-07-17,955.48,964.8,949.3,958.9,4287417
1981-07-20,954.81,954.81,937.02,940.54,4032858
1981-07-21,940.54,944.35,927.23,934.46,4738408
1981-07-22,934.46,942.07,922.37,924.66,4760456
1981-07-23,924.66,932.84,918.66,928.56,4188199
1981-07-24,928.56,941.78,926.94,936.74,3896559
1981-07-27,937.12,950.82,937.12,945.87,3969719
1981-07-28,945.87,948.15,934.65,939.4,3824400
1981-07-29,939.4,947.3,933.5,937.4,3769279
1981-07-30,937.4,948.25,934.36,945.11,4165149
1981-07-31,945.11,956.72,943.4,952.34,4357571
1981-08-03,952.34,955.48,940.45,946.25,3973728
1981-08-04,946.25,951.39,937.4,945.97,3954686
1981-08-05,945.97,958.81,942.16,953.58,5440951
1981-08-06,953.58,961.47,947.3,952.91,5218462
1981-08-07,952.91,954.15,938.45,942.54,3845446
1981-08-10,942.54,948.82,935.88,943.68,3845446
1981-08-11,943.68,955.48,939.5,949.3,5271579
1981-08-12,949.3,955.86,942.26,945.21,5376810
1981-08-13,945.21,952.91,938.55,944.35,4255347
1981-08-14,944.35,947.77,933.79,936.93,4267373
1981-08-17,936.93,939.4,924.37,926.75,4092990
1981-08-18,926.75,932.74,916.38,924.37,4737406
1981-08-19,924.37,932.08,918.38,926.46,3947671
1981-08-20,926.46,935.31,923.52,928.37,3835424
1981-08-21,928.37,930.65,917.14,920.57,3775292
1981-08-24,917.43,917.43,896.97,900.11,4685291
1981-08-25,900.11,904.3,887.46,901.83,5472019
1981-08-26,901.83,908.39,893.65,899.26,4006801
1981-08-27,899.26,900.49,883.66,889.08,4399664
1981-08-28,889.08,898.78,884.8,892.22,3810369
1981-08-31,892.22,900.88,879.09,881.47,4044884
1981-09-01,881.47,889.36,873.1,882.71,4520930
1981-09-02,882.71,892.41,879.28,884.23,3765270
1981-09-03,884.23,888.7,865.11,867.01,4182186
1981-09-04,867.01,869.96,856.16,861.68,4285413
1981-09-07,851.12,851.12,851.12,851.12,4069316
1981-09-08,861.68,863.39,843.13,851.12,4744421
1981-09-09,851.12,861.3,844.94,853.88,4400666
1981-09-10,853.88,868.82,853.12,862.44,4753441
1981-09-11,862.44,875.48,857.21,872.81,4226283
1981-09-14,872.81,876.24,860.06,866.15,3411493
1981-09-15,866.15,872.53,856.74,858.35,3866493
1981-09-16,858.35,858.44,845.98,851.59,4375611
1981-09-17,851.59,858.26,837.33,840.09,4840633
1981-09-18,840.09,845.51,829.43,836.19,4745423
1981-09-21,836.19,851.69,829.43,846.56,4466811
1981-09-22,846.56,855.4,838.18,845.7,4693309
1981-09-23,845.7,847.51,827.25,840.94,5281601
1981-09-24,840.94,850.65,832,835.14,4898760
1981-09-25,834.47,834.47,815.37,824.01,5450973
1981-09-28,824.01,844.65,807.46,842.56,6145499
1981-09-29,842.56,858.83,837.8,847.89,4990963
1981-09-30,847.89,854.36,839.61,849.98,4078959
1981-10-01,849.98,855.88,840.47,852.26,4169157
1981-10-02,852.26,866.34,848.65,860.73,5466006
1981-10-05,860.73,873.95,854.83,859.87,5140291
1981-10-06,859.87,870.81,848.74,856.26,4556007
1981-10-07,856.26,871.58,853.98,868.72,5014013
1981-10-08,868.72,881.66,862.63,878.14,4719366
1981-10-09,878.14,885.84,866.34,873,5017020
1981-10-12,873,877.76,862.25,869.48,3009610
1981-10-13,869.48,876.05,859.59,865.58,4345545
1981-10-14,865.58,866.53,848.46,850.65,4034862
1981-10-15,850.65,861.49,845.61,856.26,4292428
1981-10-16,856.26,860.73,846.37,851.69,3788321
1981-10-19,851.69,853.88,840.09,847.13,4168155
1981-10-20,847.13,860.06,844.75,851.88,5164344
1981-10-21,851.88,861.97,846.46,851.03,4859674
1981-10-22,851.03,854.07,840.85,848.27,4071944
1981-10-23,847.6,847.6,833.14,837.99,4208243
1981-10-26,837.99,837.99,823.63,830.96,3829411
1981-10-27,830.96,846.94,828.01,838.38,5314674
1981-10-28,838.38,847.89,832.29,837.61,4820588
1981-10-29,837.61,842.47,826.58,832.95,4015821
1981-10-30,832.95,854.83,826.96,852.55,5970113
1981-11-02,855.97,872.53,855.97,866.82,6524331
1981-11-03,866.82,873.19,859.87,868.72,5474024
1981-11-04,868.72,876.05,859.3,866.82,5356766
1981-11-05,866.82,874.14,856.93,859.11,5097196
1981-11-06,859.11,861.21,847.89,852.45,4336525
1981-11-09,852.45,861.49,844.65,855.21,4841635
1981-11-10,855.21,865.58,849.12,853.98,5405874
1981-11-11,853.98,860.83,849.03,857.12,4201228
1981-11-12,857.12,869.01,854.07,860.54,5584266
1981-11-13,860.54,865.2,851.79,855.88,4565027
1981-11-16,853.79,853.79,839.04,845.03,4383629
1981-11-17,845.03,853.5,841.23,850.17,4328508
1981-11-18,850.17,854.26,839.99,844.08,5009002
1981-11-19,844.08,850.08,834.57,844.75,4899762
1981-11-20,844.75,858.16,841.8,852.93,5212449
1981-11-23,852.93,860.92,848.17,851.79,4534961
1981-11-24,851.79,873.29,850.17,870.24,5331711
1981-11-25,870.72,884.99,870.72,878.14,5869893
1981-11-27,878.14,890.89,875.76,885.94,3284214
1981-11-30,885.94,892.79,878.14,888.98,4768474
1981-12-01,888.98,896.12,881.37,890.22,5409883
1981-12-02,890.22,892.41,879.28,882.61,4460798
1981-12-03,882.61,888.32,875.86,883.85,4386635
1981-12-04,885.75,898.5,885.75,892.69,5516116
1981-12-07,892.69,897.17,883.37,886.99,4582065
1981-12-08,886.99,889.36,875.29,881.75,4523937
1981-12-09,881.75,891.46,879.19,888.22,4490864
1981-12-10,888.22,897.74,885.18,892.03,4712351
1981-12-11,892.03,897.45,883.37,886.51,4595093
1981-12-14,882.52,882.52,868.72,871.48,4483849
1981-12-15,871.48,880.33,867.77,875.95,4422715
1981-12-16,875.95,878.42,865.11,868.72,4286415
1981-12-17,868.72,874.71,862.82,870.53,4733397
1981-12-18,870.53,880.71,867.39,875.76,5105214
1981-12-21,875.76,879.57,868.63,873.1,4138089
1981-12-22,873.1,878.81,867.77,871.96,4842637
1981-12-23,871.96,877.28,865.39,869.67,4300446
1981-12-24,869.67,876.14,866.15,873.38,2399270
1981-12-28,873.38,878.04,867.77,870.34,2838234
1981-12-29,870.34,875.67,864.44,868.25,3537771
1981-12-30,868.25,879.76,865.96,873.1,4305457
1981-12-31,873.1,880.33,868.91,875,4086977
1982-01-04,875,887.37,871.86,882.52,3684092
1982-01-05,882.52,882.61,862.82,865.3,4761459
1982-01-06,865.3,868.72,853.41,861.02,5162339
1982-01-07,861.02,865.39,851.22,861.78,4350556
1982-01-08,861.78,872.15,858.92,866.53,4214257
1982-01-11,866.53,872.43,848.55,850.46,5201425
1982-01-12,850.46,856.07,842.66,847.7,4990963
1982-01-13,847.7,855.31,835.14,838.95,4923815
1982-01-14,838.95,848.36,834.09,842.28,4303453
1982-01-15,842.28,852.64,840.37,847.6,4340534
1982-01-18,847.6,857.78,838.47,855.12,4501888
1982-01-19,855.12,861.97,845.22,847.41,4516921
1982-01-20,847.41,853.5,838.95,845.89,4896756
1982-01-21,845.89,856.64,842.85,848.27,4871701
1982-01-22,848.27,853.31,839.8,845.03,4446767
1982-01-25,845.03,846.75,832.57,842.75,4326503
1982-01-26,842.75,849.79,836.76,841.51,4496877
1982-01-27,841.51,848.08,832.67,842.66,5017020
1982-01-28,845.32,867.2,845.32,864.25,6683681
1982-01-29,864.25,876.71,859.78,871.1,7356158
1982-02-01,866.34,866.34,848.08,851.69,4782505
1982-02-02,851.69,860.83,846.46,852.55,4511910
1982-02-03,852.55,858.26,841.89,845.03,4966910
1982-02-04,845.03,852.74,835.71,847.03,5341733
1982-02-05,847.03,858.26,842.94,851.03,5346744
1982-02-08,849.7,849.7,830.86,833.43,4860677
1982-02-09,833.43,838.47,824.11,830.57,5453980
1982-02-10,830.57,842.09,829.34,836.66,4672263
1982-02-11,836.66,841.42,827.25,834.67,4683287
1982-02-12,834.67,841.32,829.24,833.81,3715160
1982-02-16,833.81,834.67,817.26,831.34,4898760
1982-02-17,831.34,836.95,822.68,827.63,4776492
1982-02-18,827.63,836.95,824.01,828.96,6094386
1982-02-19,828.96,833.33,818.59,824.3,5145302
1982-02-22,824.3,835.81,809.55,811.26,5843836
1982-02-23,811.26,817.73,802.23,812.98,6023230
1982-02-24,812.98,829.72,806.51,826.77,6494265
1982-02-25,826.77,837.42,820.78,825.82,5427923
1982-02-26,825.82,831.24,817.83,824.39,4393651
1982-03-01,824.39,834.28,818.21,828.39,5312669
1982-03-02,828.39,840.66,821.54,825.82,6394045
