Date,Open,High,Low,Close,Volume
1981-04-10,134.67,136.23,133.18,134.51,9082812
1981-04-13,134.51,134.91,132.24,133.15,7790625
1981-04-14,133.15,134.03,131.58,132.68,7554687
1981-04-15,132.68,134.79,132.2,134.17,8756250
1981-04-16,134.17,135.82,133.43,134.7,8273437
1981-04-20,134.7,136.25,133.19,135.45,7971875
1981-04-21,135.45,136.38,133.49,134.23,9418750
1981-04-22,134.23,135.54,132.72,134.14,9478125
1981-04-23,134.14,135.9,132.9,133.94,10031250
1981-04-24,133.94,136,132.88,135.14,9375000
1981-04-27,135.14,136.56,134.13,135.48,7981250
1981-04-28,135.48,136.09,133.1,134.33,9095312
1981-04-29,134.33,134.69,131.82,133.05,8334375
1981-04-30,133.05,134.44,131.85,132.81,7495312
1981-05-01,132.81,134.17,131.43,132.72,7556250
1981-05-04,131.78,131.78,129.61,130.67,6317187
1981-05-05,130.67,131.33,128.93,130.32,7656250
1981-05-06,130.32,132.38,130.09,130.78,7359375
1981-05-07,130.78,132.41,130.21,131.67,6654687
1981-05-08,131.67,132.69,130.84,131.66,6540625
1981-05-11,131.66,132.23,129.11,129.71,5881250
1981-05-12,129.71,131.17,128.78,130.72,6318750
1981-05-13,130.72,131.96,129.53,130.55,6656250
1981-05-14,130.55,132.15,129.91,131.28,6679687
1981-05-15,131.28,133.21,130.75,132.17,7103125
1981-05-18,132.17,133.65,131.49,132.54,6642187
1981-05-19,132.54,133.22,130.78,132.09,6596875
1981-05-20,132.09,133.03,130.59,132,6620312
1981-05-21,132,133.03,130.7,131.75,7315625
1981-05-22,131.75,132.65,130.42,131.33,6360937
1981-05-25,132.77,132.77,132.77,132.77,0
1981-05-26,131.33,133.3,130.64,132.77,6681250
1981-05-27,132.77,134.65,131.85,133.77,9176562
1981-05-28,133.77,134.92,132,133.45,9296875
1981-05-29,133.45,134.36,131.52,132.59,8059375
1981-06-01,132.59,134.62,131.49,132.41,9714062
1981-06-02,132.41,132.96,129.84,130.62,8426562
1981-06-03,130.62,131.37,128.77,130.71,8546875
1981-06-04,130.71,132.21,129.72,130.96,7646875
1981-06-05,130.96,132.98,130.17,132.22,7371875
1981-06-08,132.22,133.68,131.29,132.24,6496875
