Date,Open,High,Low,Close,Volume
2003-01-03,5148.45,5148.45,5148.45,5148.45,0
2003-01-06,5255.39,5255.39,5255.39,5255.39,0
2003-01-07,5186.92,5186.92,5186.92,5186.92,0
2003-01-08,5124.19,5124.19,5124.19,5124.19,0
2003-01-09,5153.02,5211.39,5151.4,5210.34,0
2003-01-10,5210.04,5232.17,5209.8,5209.8,0
2003-01-13,5209.8,5245.66,5209.21,5209.21,0
2003-01-14,5209.21,5233.67,5190.97,5233.66,0
2003-01-15,5233.73,5235.25,5171.45,5171.45,0
2003-01-16,5171.45,5205.35,5165.34,5165.34,0
2003-01-17,5165.34,5165.34,5108.51,5108.51,0
2003-01-21,5108.51,5111.93,5016.28,5016.28,0
2003-01-22,5016.28,5016.28,4962.98,4962.98,0
2003-01-23,4962.98,5006.9,4956.42,4995.66,0
2003-01-24,4995.66,4995.66,4880.19,4880.19,0
2003-01-27,4880.19,4880.19,4786.96,4786.96,0
2003-01-28,4786.98,4847.15,4786.94,4840.99,0
2003-01-29,4840.98,4885.58,4780.65,4865.96,0
2003-01-30,4865.96,4873.12,4784.44,4784.44,0
2003-01-31,4784.43,4874.43,4769.79,4868.68,0
2003-02-03,4868.68,4903.28,4868.68,4884.79,0
2003-02-04,4884.79,4884.79,4824.46,4824.46,0
2003-02-05,4824.47,4882.49,4807.86,4807.86,0
2003-02-06,4807.86,4807.86,4757.3,4757.3,0
2003-02-07,4757.31,4788.25,4713.66,4713.66,0
2003-02-10,4713.66,4733.08,4677.09,4732.77,0
2003-02-11,4732.77,4771.77,4708.69,4708.69,0
2003-02-12,4708.69,4714.85,4649.71,4649.71,0
2003-02-13,4649.7,4666.96,4601.45,4653.25,0
2003-02-14,4653.25,4729.74,4647.64,4729.74,0
2003-02-18,4729.75,4817.5,4729.75,4805.73,0
2003-02-19,4805.73,4805.73,4763.45,4763.45,0
2003-02-20,4763.47,4786.94,4730.84,4730.84,0
2003-02-21,4730.85,4803.28,4729.84,4787.17,0
2003-02-24,4787.17,4787.43,4706.22,4706.22,0
2003-02-25,4706.22,4716.09,4623.93,4713.38,0
2003-02-26,4713.37,4713.37,4653.98,4653.98,0
2003-02-27,4654,4712.38,4647.45,4693.53,0
2003-02-28,4693.53,4741.35,4693.53,4716.07,0
2003-03-03,4716.08,4782.97,4709.38,4709.38,0
2003-03-04,4709.4,4710.08,4638.05,4638.05,0
2003-03-05,4638.05,4673.91,4625.63,4673.75,0
2003-03-06,4673.75,4673.75,4626.02,4626.02,0
2003-03-07,4626.02,4647.2,4576,4645.1,0
2003-03-10,4645.1,4645.1,4529.07,4529.07,0
2003-03-11,4529.07,4557.69,4499.64,4499.64,0
